UnitID,US FR,YR,SUM,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY, Unknown_state , Foreign 
115409,189,2020,207,0,1,1,0,90,4,2,0,3,2,2,5,2,3,0,1,0,0,1,0,2,6,0,5,0,0,0,1,2,1,1,0,13,1,0,3,0,5,2,0,0,0,1,5,2,0,6,16,0,0,0,0,18
115728,132,2020,134,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
115773,9,2020,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117104,76,2021,76,1,0,0,0,57,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,1,3,0,0,0,0,0
117140,646,2020,660,0,0,1,0,615,1,0,1,0,1,0,4,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,2,3,0,0,0,0,6,1,0,0,3,0,0,0,1,13
117168,109,2020,113,1,0,1,0,75,2,1,0,0,1,0,0,0,2,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,3,1,0,0,0,0,8,0,0,1,6,0,0,0,0,4
117283,8,2020,8,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117557,4,2020,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
117575,4,2020,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
117627,278,2020,281,0,0,3,0,260,0,0,0,0,2,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3
117672,6,2020,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117751,344,2021,345,2,5,17,2,204,12,0,0,0,3,2,3,6,2,3,2,0,0,0,0,0,0,0,0,0,3,3,0,3,0,3,0,0,3,0,9,2,9,2,0,0,0,3,14,2,0,0,23,0,0,2,0,1
117946,1449,2021,1609,0,2,18,1,915,42,14,1,2,17,17,19,2,43,4,1,1,1,1,2,20,27,4,13,1,5,3,0,16,2,27,2,27,7,1,8,1,32,11,2,0,0,8,33,8,1,7,77,0,3,0,7,153
118541,98,2020,98,0,0,1,0,85,0,1,0,0,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
118693,118,2020,129,0,1,1,0,86,0,0,0,0,0,0,15,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4,0,1,1,0,11
118888,126,2020,130,1,1,0,0,97,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,7,0,0,1,0,1,2,0,0,0,5,0,0,0,0,4
